k,event,x,x_next,r,r_next,dx,dx_raw,dx_perm,q,p,z,a,s,u,v,R,Psi,horizon,closed
16,ROAM,-4.205401301244303,-3.150689595447849,313.7733768565069,99.54225020199326,1.0547117057964532,1.0547117057964532,0.5466816694944275,3.1521627873570184,0.7513854420860988,2.368489229505603,0.518323316684541,0.40626201726239675,0.5740444081985662,0.4311261479904154,0.717911372012657,0.2576983690325478,0,0
17,ROAM,-3.150689595447849,-2.3550239510770075,99.54225020199326,31.759644609136053,0.7956656443708419,0.7956656443708419,0.41075028379257755,3.1342369043183993,0.7543915934546775,2.364441972513213,0.5162347861800303,0.405547779887547,0.5711928663773888,0.43027102083852015,0.7151184810741781,0.2556972209869198,0,0
18,ROAM,-2.3550239510770075,-1.7471274304683613,31.759644609136053,10.317476998984148,0.6078965206086463,0.6078965206086463,0.3097792478752317,3.0782375005305083,0.764010014645744,2.3518042778633923,0.5095920726196465,0.4033064480498545,0.5621785965530692,0.4275914056898341,0.70631380040474,0.24943959232109347,0,0
19,ROAM,-1.7471274304683613,-1.2634678764893956,10.317476998984148,3.548336754401227,0.48365955397896576,0.48365955397896576,0.23611736099630104,2.9076938614083963,0.7956281004782098,2.3134429437245134,0.48818917987624355,0.39639823773398764,0.5336801397553327,0.4193684333707949,0.6787373383549385,0.23034218723857314,0,0
20,ROAM,-1.2634678764893956,-0.8236506607691669,3.548336754401227,1.4602271176262756,0.4398172157202287,0.4398172157202287,0.18336325342553753,2.429989630769166,0.909352895238056,2.209718106138396,0.41690785824576815,0.376892320800659,0.443943495085085,0.39643247680522725,0.59518445501734,0.17712226774714396,0,0
21,ROAM,-0.8236506607691669,-0.17032267104150245,1.4602271176262756,1.000841569208982,0.6533279897276645,0.6533279897276645,0.12195085755331364,1.4589992687652964,1.485453425594796,2.167275461727712,0.18666100254505866,0.368542451022235,0.18887538417577773,0.3867354155506027,0.43039306731015664,0.0926190961943225,0,0
22,ROAM,-0.17032267104150245,50.4690091094202,1.000841569208982,6487825.779811542,50.6393317804617,50.6393317804617,-50.63931615675595,1.5426455690662128e-07,77.50981524837758,1.1957017305205045e-05,-0.9999996914709338,-0.9999760862513267,-7.254328619247669,-5.667096114871234,9.205501729467244,42.370631045612214,0,0
23,ROAM,50.4690091094202,37.85175488730667,6487825.779811542,2052788.8873622783,-12.617254222113534,-12.617254222113534,-6.55198602643454,3.160493424215699,0.24915917683934427,0.787465939983744,0.5192877872708035,-0.1189024390686789,0.5753640811564319,-0.11946758001599284,0.5876362212796815,0.17265816427993141,0,0
24,ROAM,37.85175488730667,28.388811555681407,2052788.8873622783,649515.4956108237,-9.462943331625263,-9.462943331625263,-4.913989951906084,3.1604925536561286,0.7500002112218963,2.370370082807327,0.5192876866844879,0.4065933559634159,0.5753639434311509,0.4315230480198382,0.7192049835568273,0.2586279041864881,0,0
25,ROAM,28.388811555681407,21.291597739825725,649515.4956108237,205511.02400218692,-7.097213815855681,-7.097213815855681,-3.6854934881186665,3.1604898022595225,0.7500006675657628,2.3703694615294273,0.5192873687819595,0.4065932465776534,0.5753635081512448,0.4315229169689982,0.7192045567024311,0.2586275971907702,0,0
