mode,alpha,k,theta,a_avg_mean,s_avg_mean,u,v,R,Psi,du,dv,D_uv_step,L_struct_uv
fixed,0.65,2.2,1.3744467859455345,0.8155484047891829,-0.13983683223866356,1.14337788999064,-0.140759150161584,1.15200960832523,0.663563068836825,-0.0194365202032301,0.037051696636111,0.0418402502528961,2.31626614069932
fixed,0.65,2.2,1.4726215563702154,0.8116237307230373,-0.11814310683473916,1.13176870797826,-0.118697428931827,1.13797604895437,0.647494743996904,-0.01160918201238,0.022061721229757,0.0249297543232194,2.34119589502254
fixed,0.65,2.2,1.5707963267948966,0.810302010037247,-0.11091170168791538,1.12790784285198,-0.111369878142656,1.13339284968828,0.642289675862261,-0.00386086512627992,0.00732755078917099,0.00828246823665536,2.3494783632592
fixed,0.65,2.2,1.6689710972195777,0.8116237307230373,-0.11814310683473898,1.13176870797826,-0.118697428931827,1.13797604895437,0.647494743996904,0.00386086512627992,-0.00732755078917099,0.00828246823665536,2.35776083149586
fixed,0.65,2.2,1.7671458676442586,0.8155484047891829,-0.13983683223866356,1.14337788999064,-0.140759150161584,1.15200960832523,0.663563068836825,0.01160918201238,-0.022061721229757,0.0249297543232194,2.38269058581908
fixed,0.65,2.2,1.8653206380689396,0.8219549624253876,-0.17596031578106056,1.16281441019387,-0.177810846797695,1.17633075696993,0.69187702489672,0.0194365202032301,-0.037051696636111,0.0418402502528961,2.42453083607197
fixed,0.65,2.2,1.9634954084936207,0.8306431642478559,-0.2263479237942223,1.19020734843559,-0.230336802707191,1.21229063138814,0.734824287475728,0.02739293824172,-0.052525955909496,0.0592397595346318,2.4837705956066
fixed,0.65,2.2,2.061670178918302,0.8413366987873278,-0.29050760081841714,1.2257313495461,-0.299120562672698,1.26170141169523,0.795945226136863,0.03552400111051,-0.068783759965507,0.0774155041958134,2.56118609980242
fixed,0.65,2.2,2.1598449493429825,0.8536889933656434,-0.3673064362870031,1.26959922227345,-0.385305887615441,1.32677911207121,0.88017140611424,0.04386787272735,-0.086185324942743,0.096707292864133,2.65789339266655
fixed,0.65,2.2,2.2580197197676637,0.8672929695848638,-0.45453411612519873,1.32205056574967,-0.490400335464832,1.41007453257728,0.994155093711521,0.0524513434762199,-0.105094447849391,0.11745631699159,2.77534970965814
fixed,0.65,2.2,2.356194490192345,0.8816959053209116,-0.5484440384087571,1.38333517171894,-0.616153274209731,1.51435169449968,1.14663052731703,0.06128460596927,-0.125752938744899,0.139891402637142,2.91524111229528
fixed,0.65,2.2,2.454369260617026,0.8964200934688616,-0.6435426878986301,1.45368993397278,-0.764197437753998,1.64231913707524,1.34860607400178,0.0703547622538401,-0.148044163544267,0.163911155603626,3.07915226789891
fixed,0.65,2.2,2.552544031041707,0.9109890228164551,-0.7330256832793589,1.53330824937363,-0.935235824008197,1.79602345032171,1.61285011705275,0.0796183154008501,-0.171038386254199,0.188661616975234,3.26781388487414
fixed,0.65,2.2,2.650718801466388,0.9249573892482861,-0.8102070624472241,1.62230150773065,-1.1276314206593,1.97570615295981,1.95170740142162,0.0889932583570199,-0.192395596651103,0.211980814329347,3.47979469920349
fixed,0.65,2.2,2.748893571891069,0.9379416481108714,-0.8707832134276475,1.72065329036462,-1.3363104714671,2.17861731880457,2.37318671089761,0.0983517826339699,-0.2086790508078,0.23069464535035,3.71048934455384
fixed,0.65,2.2,2.84706834231575,0.9496465708175855,-0.9144189155443092,1.82816833282542,-1.55385256723298,2.39930349348352,2.8783286269211,0.1075150424608,-0.21754209576588,0.242660354787425,3.95314969934126
fixed,0.65,2.2,2.945243112740431,0.9598830166850808,-0.9439657071016686,1.94442014818211,-1.77326073399465,2.63158190892546,3.46261167169189,0.11625181535669,-0.21940816676167,0.248303097474524,4.20145279681579
fixed,0.65,2.2,3.043417883165112,0.9685733125368451,-0.9632871836153493,2.06870345069367,-1.98962478375755,2.87021614988387,4.11907037352709,0.12428330251156,-0.2163640497629,0.249519019942334,4.45097181675812
fixed,0.65,2.2,3.141592653589793,0.9757431300314519,-0.9757431300314519,2.20000000000001,-2.20000000000001,3.11126983722082,4.84000000000003,0.13129654930634,-0.21037521624246,0.247984909760279,4.6989567265184
fixed,0.65,2.2,3.2397674240144743,0.9685733125368451,-0.9632871836153493,2.06870345069367,-1.98962478375755,2.87021614988387,4.11907037352709,-0.13129654930634,0.21037521624246,0.247984909760279,4.94694163627868
fixed,0.65,2.2,3.3379421944391554,0.9598830166850809,-0.9439657071016687,1.94442014818211,-1.77326073399465,2.63158190892546,3.4626116716919,-0.12428330251156,0.2163640497629,0.249519019942334,5.19646065622101
fixed,0.65,2.2,3.436116964863836,0.9496465708175855,-0.9144189155443093,1.82816833282542,-1.55385256723298,2.39930349348352,2.8783286269211,-0.11625181535669,0.21940816676167,0.248303097474524,5.44476375369554
fixed,0.65,2.2,3.5342917352885173,0.9379416481108716,-0.8707832134276478,1.72065329036463,-1.3363104714671,2.17861731880457,2.37318671089762,-0.10751504246079,0.21754209576588,0.24266035478742,5.68742410848296
fixed,0.65,2.2,3.6324665057131984,0.9249573892482861,-0.8102070624472243,1.62230150773065,-1.1276314206593,1.97570615295981,1.95170740142162,-0.0983517826339801,0.2086790508078,0.230694645350355,5.91811875383331
fixed,0.65,2.2,3.730641276137879,0.9109890228164551,-0.733025683279359,1.53330824937363,-0.935235824008197,1.79602345032171,1.61285011705275,-0.0889932583570199,0.192395596651103,0.211980814329347,6.13009956816266
fixed,0.65,2.2,3.8288160465625602,0.8964200934688616,-0.6435426878986304,1.45368993397278,-0.764197437753999,1.64231913707524,1.34860607400178,-0.0796183154008501,0.171038386254198,0.188661616975233,6.31876118513789
fixed,0.65,2.2,3.9269908169872414,0.8816959053209116,-0.5484440384087573,1.38333517171894,-0.616153274209731,1.51435169449968,1.14663052731703,-0.0703547622538401,0.148044163544268,0.163911155603627,6.48267234074152
fixed,0.65,2.2,4.025165587411922,0.8672929695848638,-0.4545341161251994,1.32205056574967,-0.490400335464833,1.41007453257728,0.994155093711521,-0.06128460596927,0.125752938744898,0.139891402637141,6.62256374337866
fixed,0.65,2.2,4.123340357836604,0.8536889933656434,-0.36730643628700327,1.26959922227345,-0.385305887615441,1.32677911207121,0.88017140611424,-0.0524513434762199,0.105094447849392,0.11745631699159,6.74002006037025
